EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,OverTime,DistanceFromHome,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition
206,20,Male,Married,2,Medical,Sales,Sales Representative,1,2571,3,2,1,0,No,7,Travel_Rarely,4,3,3,1,0
207,30,Male,Divorced,3,Marketing,Sales,Sales Representative,2,3513,10,0,4,9,No,5,Travel_Rarely,3,1,4,3,0
208,44,Male,Married,4,Life Sciences,Research & Development,Laboratory Technician,2,5942,0,1,2,2,No,3,Travel_Rarely,4,4,2,2,0
209,19,Male,Divorced,2,Marketing,Research & Development,Manager,1,1360,1,0,4,4,No,15,Travel_Rarely,2,4,3,2,0
210,32,Female,Married,4,Life Sciences,Research & Development,Research Scientist,1,3321,6,0,0,0,No,27,Travel_Frequently,2,2,4,4,0
211,42,Male,Married,4,Life Sciences,Research & Development,Research Scientist,1,3224,0,0,1,1,Yes,17,Travel_Rarely,1,3,3,2,0
212,45,Female,Single,3,Marketing,Research & Development,Manufacturing Director,1,1526,1,0,1,2,No,29,Travel_Frequently,3,4,3,1,1
213,44,Female,Married,1,Life Sciences,Sales,Sales Representative,2,5960,2,2,1,0,No,23,Travel_Rarely,4,1,2,1,0
214,34,Female,Married,3,Medical,Research & Development,Healthcare Representative,1,1278,4,2,2,1,Yes,13,Travel_Rarely,2,3,3,3,0
215,45,Male,Married,4,Life Sciences,Research & Development,Research Scientist,2,5753,0,1,0,1,No,15,Travel_Rarely,3,3,3,3,0
216,34,Female,Married,3,Marketing,Research & Development,Manufacturing Director,1,2372,9,3,1,1,No,27,Non-Travel,1,3,3,2,0
217,37,Female,Divorced,2,Life Sciences,Research & Development,Laboratory Technician,1,2946,2,0,1,1,No,19,Travel_Rarely,1,4,4,4,0
218,46,Male,Single,3,Marketing,Sales,Sales Representative,2,4444,12,0,3,6,No,20,Travel_Rarely,4,2,1,1,0
219,44,Female,Divorced,3,Life Sciences,Research & Development,Manufacturing Director,2,6376,3,1,2,1,No,14,Travel_Rarely,2,1,2,4,0
220,50,Female,Single,3,Technical Degree,Sales,Sales Executive,1,3111,1,1,3,1,No,21,Travel_Rarely,4,1,2,4,0
221,44,Male,Married,1,Life Sciences,Sales,Sales Executive,1,1289,0,0,0,2,Yes,13,Travel_Rarely,4,1,3,4,1
222,42,Male,Single,2,Marketing,Research & Development,Laboratory Technician,2,5065,0,1,1,2,No,12,Travel_Rarely,4,3,2,4,0
223,29,Male,Single,3,Life Sciences,Sales,Manager,1,1063,3,0,0,3,No,24,Travel_Rarely,1,4,3,2,0
224,38,Male,Married,4,Technical Degree,Research & Development,Laboratory Technician,1,1329,0,2,0,3,Yes,29,Travel_Rarely,3,2,3,3,0
225,35,Male,Single,1,Life Sciences,Sales,Sales Representative,2,4893,2,2,0,0,No,23,Travel_Rarely,4,3,3,4,0
226,35,Male,Married,4,Life Sciences,Sales,Sales Executive,2,3762,4,1,0,1,No,9,Travel_Frequently,4,4,2,1,0
227,58,Male,Divorced,2,Medical,Research & Development,Research Scientist,2,4963,1,0,2,3,No,27,Travel_Rarely,4,2,4,2,0
228,39,Male,Single,3,Life Sciences,Research & Development,Research Scientist,2,6088,0,1,17,5,Yes,3,Travel_Rarely,2,3,3,1,0
229,53,Female,Married,3,Life Sciences,Research & Development,Manager,2,5490,7,2,0,2,No,11,Non-Travel,2,4,4,3,0
230,44,Male,Married,3,Technical Degree,Research & Development,Research Scientist,2,3140,14,0,5,0,Yes,10,Travel_Frequently,3,3,3,3,0
231,47,Female,Married,4,Other,Research & Development,Healthcare Representative,2,4331,0,0,0,1,No,1,Travel_Rarely,4,2,2,2,0
232,41,Male,Single,2,Life Sciences,Sales,Sales Representative,2,3443,0,5,3,0,No,17,Travel_Rarely,2,3,2,1,0
233,43,Male,Single,4,Technical Degree,Sales,Sales Executive,3,8473,16,0,3,3,No,28,Travel_Rarely,1,4,4,4,0
234,41,Male,Single,1,Medical,Sales,Sales Executive,1,2498,0,0,6,0,No,26,Travel_Rarely,4,3,3,1,0
235,33,Male,Single,3,Life Sciences,Research & Development,Research Scientist,1,2268,19,0,0,0,Yes,13,Travel_Rarely,2,3,1,4,0
236,46,Male,Single,3,Marketing,Research & Development,Manager,2,3449,0,1,1,1,No,14,Travel_Rarely,1,3,3,2,0
237,36,Female,Married,3,Medical,Sales,Sales Representative,2,4825,10,4,0,1,No,1,Travel_Rarely,1,1,3,3,0
238,24,Male,Divorced,2,Human Resources,Research & Development,Laboratory Technician,1,1350,1,1,1,1,No,2,Travel_Rarely,2,3,3,3,0
239,44,Female,Divorced,4,Life Sciences,Research & Development,Laboratory Technician,3,10694,13,0,7,1,No,2,Travel_Rarely,3,2,2,1,0
240,32,Female,Married,1,Medical,Sales,Sales Executive,1,1710,1,1,4,3,Yes,7,Travel_Frequently,2,1,3,3,0
241,56,Male,Single,1,Life Sciences,Sales,Manager,2,3869,5,1,3,1,Yes,9,Travel_Rarely,1,3,2,3,1
242,57,Male,Single,3,Life Sciences,Research & Development,Healthcare Representative,2,4983,0,1,2,2,Yes,24,Travel_Rarely,1,1,3,4,1
243,54,Female,Single,3,Life Sciences,Research & Development,Healthcare Representative,4,16280,1,0,6,1,No,4,Travel_Rarely,2,3,3,4,0
244,38,Male,Single,3,Human Resources,Research & Development,Research Scientist,1,1392,7,1,1,1,Yes,2,Travel_Rarely,3,1,2,1,0
245,21,Male,Married,2,Marketing,Sales,Sales Representative,2,3841,3,0,0,2,Yes,19,Travel_Rarely,1,1,3,2,0
246,55,Female,Married,1,Marketing,Human Resources,Human Resources,1,3448,13,0,5,1,No,26,Travel_Frequently,3,4,1,2,0
247,40,Male,Married,3,Medical,Sales,Sales Executive,1,3097,2,1,0,3,No,5,Travel_Rarely,1,4,3,1,0
248,57,Female,Married,3,Life Sciences,Sales,Sales Representative,1,2318,10,6,0,2,No,9,Travel_Rarely,2,2,4,3,0
249,57,Female,Divorced,2,Life Sciences,Human Resources,Human Resources,2,6496,2,0,0,3,No,24,Travel_Rarely,1,3,3,4,0
250,50,Male,Divorced,3,Life Sciences,Sales,Sales Executive,2,5953,19,5,2,1,No,13,Travel_Rarely,1,2,3,3,0
251,36,Male,Single,3,Life Sciences,Research & Development,Healthcare Representative,1,2035,16,0,2,1,No,12,Non-Travel,4,3,3,4,0
252,39,Male,Divorced,3,Marketing,Sales,Sales Representative,2,4358,1,1,0,2,No,19,Travel_Rarely,3,3,3,4,0
253,50,Male,Divorced,3,Medical,Research & Development,Research Scientist,2,3990,10,0,3,1,No,9,Travel_Rarely,4,2,3,4,0
254,37,Male,Married,3,Life Sciences,Research & Development,Research Scientist,2,4038,9,0,4,1,Yes,10,Travel_Rarely,1,4,2,2,0
255,32,Female,Married,3,Life Sciences,Sales,Sales Representative,3,6027,1,1,7,2,Yes,19,Travel_Rarely,1,1,4,4,1
256,42,Male,Married,3,Life Sciences,Research & Development,Manufacturing Director,1,1387,4,1,2,0,No,10,Travel_Rarely,2,1,3,4,0
257,55,Male,Divorced,1,Life Sciences,Sales,Sales Representative,4,16411,0,2,4,1,No,12,Travel_Frequently,4,4,3,2,0
258,45,Female,Divorced,3,Technical Degree,Research & Development,Manufacturing Director,3,6832,9,1,4,2,No,14,Travel_Frequently,2,3,2,2,0
259,42,Female,Single,3,Medical,Sales,Sales Representative,1,1249,0,1,0,6,No,8,Travel_Rarely,3,3,1,4,1
260,30,Female,Married,3,Marketing,Sales,Sales Executive,1,3027,0,3,1,4,Yes,16,Non-Travel,2,3,3,4,0
261,43,Male,Married,2,Medical,Sales,Sales Executive,1,2528,2,0,1,1,No,17,Travel_Frequently,1,3,4,2,0
262,59,Female,Married,4,Life Sciences,Sales,Sales Representative,1,1097,4,0,0,2,No,20,Travel_Rarely,4,3,3,3,0
263,31,Male,Single,3,Life Sciences,Research & Development,Research Scientist,2,4838,9,0,1,0,No,4,Travel_Rarely,3,3,2,3,0
264,41,Male,Divorced,1,Technical Degree,Sales,Sales Representative,2,4360,18,0,1,1,Yes,6,Non-Travel,4,3,2,3,0
265,52,Male,Married,2,Marketing,Sales,Sales Executive,2,4062,2,1,0,3,Yes,12,Non-Travel,3,3,3,2,0
266,46,Female,Divorced,4,Life Sciences,Sales,Sales Executive,2,6109,0,0,0,0,No,28,Travel_Rarely,3,4,3,2,0
267,45,Male,Divorced,1,Medical,Sales,Sales Representative,1,2323,6,0,1,1,No,18,Non-Travel,1,4,2,4,0
268,45,Male,Married,4,Medical,Research & Development,Manager,3,8226,4,0,3,5,Yes,7,Travel_Frequently,3,2,1,4,0
269,38,Male,Married,3,Medical,Human Resources,Human Resources,1,1891,2,1,5,4,Yes,5,Travel_Rarely,1,3,3,4,0
270,36,Male,Married,3,Technical Degree,Sales,Sales Representative,4,16588,1,0,2,3,No,10,Travel_Rarely,3,2,3,1,0
271,47,Female,Single,2,Medical,Research & Development,Research Scientist,1,2305,3,0,1,4,No,6,Travel_Rarely,3,3,3,4,0
272,47,Female,Married,2,Medical,Research & Development,Laboratory Technician,4,16283,2,1,1,3,Yes,27,Travel_Rarely,4,3,3,2,0
273,51,Female,Single,4,Life Sciences,Sales,Sales Representative,1,1452,7,2,0,0,No,14,Travel_Frequently,4,4,3,3,0
274,54,Male,Married,2,Life Sciences,Research & Development,Manufacturing Director,1,1096,3,0,0,2,No,6,Travel_Frequently,4,4,2,4,1
275,41,Male,Single,3,Life Sciences,Research & Development,Research Scientist,1,3356,10,1,4,1,No,14,Travel_Rarely,1,4,3,3,0
276,41,Male,Single,2,Life Sciences,Research & Development,Healthcare Representative,2,3261,3,0,1,1,No,12,Travel_Frequently,2,4,4,2,0
277,47,Male,Single,1,Marketing,Research & Development,Laboratory Technician,3,8340,1,4,4,4,No,27,Travel_Rarely,1,4,4,1,0
278,44,Male,Single,1,Marketing,Sales,Sales Executive,1,2793,9,0,3,1,No,22,Non-Travel,4,3,4,3,0
279,45,Female,Married,3,Life Sciences,Research & Development,Manager,3,8296,4,8,0,0,No,26,Travel_Rarely,4,4,3,4,0
280,47,Male,Married,5,Marketing,Research & Development,Research Scientist,2,5292,1,5,2,1,No,12,Travel_Rarely,2,1,3,4,0
281,52,Male,Married,2,Life Sciences,Research & Development,Research Scientist,2,5298,4,2,1,1,No,8,Travel_Frequently,1,1,3,4,0
282,38,Male,Single,2,Life Sciences,Research & Development,Healthcare Representative,3,8170,2,0,1,4,No,10,Travel_Rarely,3,3,3,4,0
283,38,Male,Single,2,Life Sciences,Sales,Sales Executive,1,1324,9,1,2,2,No,16,Travel_Rarely,4,4,2,4,0
284,29,Male,Single,3,Life Sciences,Human Resources,Manager,1,1985,3,0,12,2,Yes,20,Non-Travel,3,3,4,4,0
285,43,Female,Single,2,Life Sciences,Research & Development,Laboratory Technician,3,10782,6,3,5,2,No,26,Travel_Rarely,1,2,3,1,0
286,27,Female,Divorced,4,Medical,Sales,Sales Executive,3,9852,0,2,7,2,No,8,Non-Travel,4,3,2,4,0
287,40,Female,Single,3,Life Sciences,Sales,Sales Executive,4,12739,2,5,0,3,No,9,Travel_Rarely,4,3,2,3,0
288,42,Male,Married,3,Human Resources,Research & Development,Healthcare Representative,3,7860,20,1,0,2,No,13,Travel_Rarely,1,2,3,4,0
289,36,Male,Single,1,Life Sciences,Sales,Sales Executive,1,1835,8,1,0,5,Yes,29,Travel_Rarely,4,4,3,1,0
290,43,Male,Single,5,Life Sciences,Sales,Sales Representative,2,3058,0,1,0,6,No,20,Travel_Rarely,3,4,2,4,0
291,25,Male,Married,2,Life Sciences,Research & Development,Manager,1,2521,1,0,1,9,No,17,Travel_Rarely,3,4,3,4,0
292,27,Female,Married,1,Medical,Sales,Sales Representative,5,16396,2,0,3,2,No,19,Non-Travel,3,2,3,4,0
293,48,Male,Single,3,Life Sciences,Sales,Sales Representative,2,5313,5,1,2,5,No,17,Travel_Rarely,4,2,3,4,0
294,38,Male,Single,3,Marketing,Sales,Sales Representative,2,4676,7,4,7,1,Yes,7,Non-Travel,3,2,2,3,0
295,31,Male,Married,2,Medical,Sales,Sales Executive,2,3235,6,1,8,4,No,28,Travel_Rarely,1,3,3,3,0
296,41,Male,Single,2,Medical,Research & Development,Research Scientist,1,1217,3,2,0,5,No,1,Non-Travel,4,1,1,2,0
297,47,Female,Single,3,Medical,Research & Development,Research Scientist,1,2550,8,2,5,5,No,27,Non-Travel,1,4,3,2,0
298,34,Male,Divorced,2,Life Sciences,Sales,Manager,3,7837,2,1,1,4,No,20,Travel_Rarely,4,2,3,2,0
299,44,Male,Married,3,Life Sciences,Sales,Manager,2,6512,0,0,1,1,No,29,Travel_Rarely,3,4,3,2,0
300,29,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,1,2429,4,1,4,0,No,14,Non-Travel,2,4,3,3,0
301,28,Male,Married,2,Medical,Sales,Sales Representative,2,6815,15,0,0,1,Yes,17,Travel_Rarely,1,1,1,4,0
302,42,Female,Married,3,Life Sciences,Sales,Sales Representative,2,6672,7,0,6,3,No,13,Travel_Rarely,4,4,3,4,0
303,42,Female,Married,2,Life Sciences,Sales,Sales Representative,1,1588,4,0,3,1,No,29,Travel_Rarely,3,4,3,1,0
304,44,Female,Married,3,Other,Research & Development,Healthcare Representative,1,2671,5,7,6,1,No,2,Non-Travel,3,3,4,1,0
305,46,Female,Married,3,Life Sciences,Research & Development,Research Scientist,3,6916,13,0,15,2,No,27,Travel_Rarely,3,2,4,2,0
306,58,Male,Single,2,Marketing,Research & Development,Manager,2,4492,2,1,2,2,No,14,Travel_Rarely,4,3,2,2,0
307,41,Female,Married,3,Marketing,Research & Development,Research Scientist,2,3917,2,2,0,5,No,1,Non-Travel,3,2,2,1,0
308,37,Male,Married,5,Life Sciences,Research & Development,Research Scientist,2,4133,18,1,0,2,No,29,Travel_Rarely,2,3,2,3,0
309,47,Male,Divorced,2,Life Sciences,Research & Development,Manufacturing Director,1,3400,9,1,1,3,No,5,Travel_Frequently,2,1,3,3,0
310,35,Female,Married,4,Life Sciences,Research & Development,Manager,2,4836,1,1,0,2,Yes,7,Travel_Rarely,4,3,1,3,0
311,40,Male,Married,2,Medical,Sales,Sales Executive,1,3138,3,0,5,4,No,19,Travel_Rarely,3,2,2,3,0
312,29,Female,Single,1,Medical,Research & Development,Manufacturing Director,1,2905,2,0,1,1,No,14,Travel_Rarely,2,1,3,2,0
313,24,Male,Married,2,Marketing,Research & Development,Research Scientist,2,6989,0,4,11,1,No,24,Travel_Rarely,4,3,2,4,0
314,57,Female,Single,2,Technical Degree,Research & Development,Laboratory Technician,3,9485,15,0,3,5,No,14,Travel_Rarely,4,3,2,4,1
315,49,Female,Married,2,Medical,Sales,Sales Representative,1,1701,2,1,0,2,No,15,Travel_Rarely,1,3,3,2,0
316,45,Female,Single,1,Life Sciences,Sales,Sales Representative,1,3120,10,1,1,2,No,5,Travel_Rarely,4,1,2,1,0
317,39,Female,Married,4,Life Sciences,Research & Development,Research Scientist,2,5732,1,0,1,1,Yes,5,Travel_Rarely,4,4,3,2,0
318,32,Female,Single,3,Marketing,Research & Development,Research Scientist,3,8769,3,4,2,1,No,29,Travel_Rarely,1,3,4,1,0
319,32,Male,Married,3,Life Sciences,Research & Development,Research Scientist,2,4321,0,2,2,2,No,21,Travel_Frequently,2,1,2,3,0
320,35,Male,Divorced,1,Life Sciences,Sales,Sales Representative,3,9716,7,0,0,0,Yes,24,Non-Travel,4,3,3,1,0
321,42,Male,Single,1,Marketing,Research & Development,Research Scientist,2,6354,4,5,3,1,No,2,Travel_Rarely,4,3,4,3,0
322,45,Female,Married,1,Life Sciences,Research & Development,Laboratory Technician,2,4528,4,2,2,1,No,18,Travel_Frequently,2,1,4,2,1
323,44,Male,Married,3,Technical Degree,Research & Development,Manager,1,2221,0,0,4,2,No,28,Travel_Rarely,2,3,3,4,0
324,36,Female,Single,4,Medical,Research & Development,Research Scientist,1,2055,1,1,5,2,No,24,Travel_Frequently,2,4,3,1,0
325,57,Male,Divorced,2,Life Sciences,Research & Development,Manufacturing Director,1,1647,0,0,0,6,No,9,Travel_Rarely,3,4,2,3,0
326,46,Male,Single,1,Technical Degree,Research & Development,Research Scientist,2,3759,1,1,0,2,No,27,Non-Travel,1,2,3,1,1
327,42,Female,Married,3,Life Sciences,Research & Development,Research Scientist,3,9412,4,0,3,4,No,28,Travel_Rarely,1,4,4,1,0
328,43,Male,Married,2,Life Sciences,Human Resources,Human Resources,3,7357,4,1,11,2,Yes,10,Travel_Rarely,4,2,3,4,0
329,39,Male,Married,2,Life Sciences,Sales,Sales Representative,1,3190,4,1,1,2,Yes,26,Travel_Rarely,4,4,3,4,0
330,35,Male,Married,3,Life Sciences,Sales,Sales Representative,1,2769,3,3,0,0,Yes,18,Travel_Rarely,3,1,2,1,0
331,38,Female,Single,3,Medical,Human Resources,Human Resources,1,1948,1,1,0,0,Yes,4,Travel_Rarely,2,3,3,3,1
332,46,Female,Single,1,Life Sciences,Research & Development,Research Scientist,1,3091,1,0,1,2,Yes,8,Travel_Rarely,3,3,3,3,0
333,21,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,2,5079,0,3,1,1,Yes,18,Travel_Rarely,3,2,3,3,1
334,30,Male,Married,5,Life Sciences,Research & Development,Research Scientist,3,7766,9,1,1,3,Yes,20,Travel_Rarely,4,4,1,3,0
335,28,Male,Divorced,2,Marketing,Sales,Sales Executive,4,11027,4,1,3,2,No,26,Travel_Rarely,4,3,3,4,0
336,28,Female,Divorced,1,Marketing,Research & Development,Laboratory Technician,2,6067,1,0,0,4,No,29,Travel_Rarely,2,1,3,2,0
337,50,Female,Divorced,2,Life Sciences,Research & Development,Manager,3,8470,0,2,0,6,No,29,Travel_Rarely,3,3,2,3,1
338,45,Male,Married,1,Life Sciences,Sales,Sales Representative,2,5538,10,4,1,0,Yes,17,Travel_Rarely,3,3,2,2,0
339,40,Male,Married,2,Life Sciences,Sales,Sales Representative,1,1159,6,2,5,1,No,16,Travel_Rarely,3,2,2,4,0
340,30,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,2,5892,5,4,2,2,No,18,Travel_Frequently,3,4,3,4,0
341,41,Female,Married,2,Marketing,Sales,Manager,2,4230,2,0,10,1,Yes,7,Non-Travel,4,4,3,4,0
342,40,Female,Single,2,Marketing,Research & Development,Research Scientist,2,3017,1,2,2,1,No,1,Travel_Rarely,4,2,3,4,0
343,32,Male,Divorced,3,Life Sciences,Sales,Sales Representative,1,2126,19,1,0,3,No,28,Travel_Rarely,3,3,3,4,0
344,40,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,1,3279,7,0,0,7,No,1,Travel_Rarely,4,2,4,4,0
345,39,Male,Married,4,Life Sciences,Human Resources,Manager,1,3471,1,1,3,3,No,18,Non-Travel,4,4,3,4,0
346,43,Female,Single,4,Medical,Research & Development,Healthcare Representative,4,15999,9,1,2,2,No,4,Travel_Rarely,4,4,3,4,0
347,44,Male,Married,1,Life Sciences,Sales,Sales Representative,1,1754,7,0,2,1,No,23,Travel_Rarely,4,2,2,1,1
348,28,Female,Divorced,3,Human Resources,Research & Development,Laboratory Technician,2,4570,1,0,4,2,Yes,20,Travel_Rarely,2,4,2,3,0
349,38,Female,Divorced,3,Marketing,Sales,Sales Executive,2,3836,2,0,3,1,Yes,21,Travel_Rarely,2,3,4,4,0
350,44,Male,Single,5,Life Sciences,Sales,Sales Executive,1,1893,1,0,0,2,No,20,Travel_Rarely,4,3,3,4,1
351,41,Male,Single,3,Medical,Human Resources,Human Resources,2,6938,0,0,4,1,Yes,4,Travel_Rarely,4,4,3,4,0
352,50,Male,Divorced,5,Technical Degree,Research & Development,Healthcare Representative,3,8286,6,0,2,5,Yes,25,Travel_Rarely,4,3,2,4,0
353,44,Female,Married,3,Medical,Research & Development,Laboratory Technician,2,6405,1,0,1,3,No,6,Travel_Rarely,1,3,3,4,0
354,32,Female,Married,2,Life Sciences,Sales,Sales Executive,3,8670,8,4,2,2,No,28,Travel_Rarely,3,3,2,3,0
355,29,Female,Divorced,3,Life Sciences,Sales,Sales Executive,1,2431,27,2,2,5,Yes,3,Travel_Frequently,1,2,3,1,1
356,44,Male,Single,5,Marketing,Sales,Sales Executive,1,1016,0,0,0,1,No,6,Travel_Rarely,3,2,3,1,0
357,24,Male,Married,4,Medical,Research & Development,Laboratory Technician,3,10747,3,4,1,0,No,13,Travel_Rarely,1,4,3,3,0
358,43,Female,Single,1,Medical,Research & Development,Healthcare Representative,3,11775,8,1,1,4,No,23,Travel_Rarely,1,3,3,3,0
359,56,Female,Married,3,Technical Degree,Research & Development,Research Scientist,5,19355,7,0,1,9,Yes,7,Travel_Rarely,1,4,3,3,0
360,43,Male,Divorced,2,Technical Degree,Research & Development,Laboratory Technician,2,4752,7,0,0,2,No,24,Travel_Rarely,3,2,3,3,0
361,39,Female,Married,1,Technical Degree,Sales,Sales Representative,3,7627,2,0,0,0,No,29,Non-Travel,2,3,3,4,0
362,44,Female,Divorced,2,Life Sciences,Sales,Sales Representative,2,5047,3,0,0,3,No,4,Travel_Rarely,1,4,3,2,0
363,40,Male,Married,2,Medical,Sales,Sales Executive,3,7866,4,0,1,0,Yes,1,Travel_Rarely,2,2,2,4,1
364,42,Female,Married,3,Marketing,Sales,Sales Representative,2,3204,18,1,6,2,No,6,Travel_Rarely,1,1,3,4,0
365,56,Female,Single,2,Marketing,Sales,Sales Representative,1,3462,1,1,0,1,No,24,Non-Travel,4,3,2,3,0
366,39,Female,Married,3,Medical,Human Resources,Manager,3,9579,12,2,1,5,Yes,5,Travel_Rarely,2,2,2,3,1
367,57,Male,Married,1,Life Sciences,Sales,Sales Representative,1,2176,1,0,1,1,No,13,Travel_Frequently,2,1,4,4,0
368,53,Male,Single,2,Marketing,Research & Development,Laboratory Technician,2,6174,22,1,4,4,Yes,19,Travel_Frequently,4,4,3,4,0
369,33,Female,Married,2,Marketing,Sales,Manager,1,1791,5,1,0,1,No,4,Travel_Rarely,3,4,3,2,0
370,29,Male,Married,2,Life Sciences,Human Resources,Manager,2,6136,3,4,0,1,Yes,24,Travel_Rarely,4,3,4,1,0
371,30,Male,Married,1,Medical,Research & Development,Manager,2,4140,4,0,0,5,No,6,Travel_Rarely,3,4,4,2,0
372,22,Male,Married,2,Life Sciences,Human Resources,Human Resources,1,2105,1,3,14,1,No,13,Travel_Rarely,4,4,3,1,0
373,29,Male,Married,3,Life Sciences,Sales,Manager,3,11953,1,2,2,2,No,29,Travel_Rarely,2,4,3,2,0
374,45,Female,Single,2,Life Sciences,Research & Development,Healthcare Representative,1,2090,0,1,0,1,No,5,Travel_Frequently,4,1,3,2,0
375,29,Female,Single,2,Life Sciences,Research & Development,Healthcare Representative,2,6309,0,1,0,3,Yes,13,Travel_Rarely,4,1,2,3,0
376,37,Male,Married,2,Medical,Sales,Sales Executive,1,2607,2,0,0,0,No,25,Non-Travel,3,1,2,4,1
377,49,Male,Married,4,Medical,Sales,Sales Representative,1,2839,7,4,0,1,No,10,Travel_Frequently,4,1,3,4,0
378,24,Male,Single,4,Medical,Sales,Manager,1,1978,4,0,4,2,Yes,3,Non-Travel,3,2,3,4,0
379,48,Female,Divorced,3,Marketing,Human Resources,Human Resources,2,6057,0,1,2,1,No,23,Travel_Frequently,1,3,2,4,0
380,36,Female,Married,2,Life Sciences,Research & Development,Research Scientist,1,1066,9,0,2,0,Yes,25,Travel_Rarely,2,2,3,4,0
381,30,Male,Married,1,Life Sciences,Research & Development,Manager,3,10779,4,0,1,3,No,27,Travel_Frequently,4,1,3,3,0
382,45,Female,Single,4,Marketing,Sales,Sales Representative,1,2278,16,1,2,2,No,13,Travel_Rarely,3,3,4,2,0
383,44,Female,Married,1,Life Sciences,Sales,Sales Representative,1,1062,5,3,0,0,Yes,27,Non-Travel,3,2,3,4,1
384,52,Female,Married,2,Other,Research & Development,Research Scientist,1,1813,0,0,1,2,No,12,Travel_Rarely,4,4,3,4,0
385,46,Female,Divorced,2,Marketing,Sales,Manager,1,1402,3,6,3,5,No,4,Travel_Rarely,3,1,4,3,0
386,47,Male,Married,2,Medical,Research & Development,Laboratory Technician,2,6829,5,1,0,0,No,10,Travel_Rarely,1,4,4,1,0
387,36,Female,Divorced,1,Human Resources,Research & Development,Research Scientist,3,8002,0,0,2,2,No,26,Travel_Frequently,4,4,3,4,1
388,32,Male,Married,3,Life Sciences,Sales,Sales Representative,2,4352,0,0,5,3,Yes,3,Travel_Rarely,4,4,4,2,0
389,46,Female,Single,1,Life Sciences,Research & Development,Healthcare Representative,1,1070,0,1,0,0,No,17,Travel_Rarely,1,4,3,1,0
390,47,Female,Married,3,Medical,Sales,Sales Representative,1,2086,1,0,6,0,No,9,Travel_Rarely,4,4,2,4,0
391,59,Female,Married,1,Life Sciences,Research & Development,Manager,2,6368,2,0,0,1,Yes,29,Travel_Rarely,2,2,2,3,0
392,39,Female,Married,1,Technical Degree,Sales,Manager,4,15340,3,0,1,3,No,1,Travel_Rarely,3,4,3,4,0
393,38,Male,Single,4,Life Sciences,Research & Development,Laboratory Technician,1,1392,0,0,2,0,Yes,18,Travel_Rarely,1,4,3,4,0
394,47,Male,Single,2,Medical,Sales,Sales Representative,2,3771,5,2,2,4,Yes,9,Travel_Frequently,3,4,3,3,0
395,38,Female,Divorced,3,Medical,Research & Development,Laboratory Technician,1,2669,4,0,0,2,No,21,Travel_Rarely,3,2,3,3,0
396,55,Female,Married,3,Medical,Research & Development,Research Scientist,1,2617,1,0,4,1,No,20,Travel_Rarely,2,3,1,2,1
397,50,Male,Divorced,1,Life Sciences,Sales,Sales Representative,1,2556,0,0,10,2,No,25,Non-Travel,4,3,1,2,0
398,40,Male,Married,4,Life Sciences,Research & Development,Manager,1,2151,0,0,0,6,No,9,Travel_Rarely,1,3,3,4,0
399,46,Male,Married,2,Marketing,Sales,Sales Representative,2,4218,2,0,6,1,No,2,Travel_Rarely,4,4,2,3,0
400,46,Female,Married,4,Life Sciences,Research & Development,Laboratory Technician,1,2217,0,1,2,1,No,19,Travel_Rarely,3,1,3,1,0
401,30,Female,Divorced,1,Marketing,Sales,Sales Executive,2,5231,2,1,8,2,No,28,Travel_Rarely,4,2,3,1,0
402,53,Male,Married,4,Medical,Research & Development,Research Scientist,1,1246,4,0,0,0,No,16,Non-Travel,3,3,3,3,0
403,41,Male,Married,1,Marketing,Sales,Sales Representative,4,14944,3,0,4,0,No,3,Travel_Rarely,1,2,3,3,0
404,48,Female,Single,3,Marketing,Sales,Sales Executive,1,3042,1,0,0,0,Yes,16,Travel_Rarely,1,1,3,3,0
405,37,Female,Married,3,Life Sciences,Sales,Sales Representative,3,6705,2,0,6,1,No,21,Travel_Rarely,4,1,3,3,0
406,53,Male,Married,4,Medical,Research & Development,Manager,2,5669,4,1,3,0,No,13,Travel_Rarely,4,2,4,1,1
407,39,Male,Single,4,Technical Degree,Sales,Sales Representative,4,13113,9,0,1,3,No,3,Travel_Frequently,2,3,3,3,1
408,20,Male,Single,3,Medical,Research & Development,Healthcare Representative,2,5977,6,0,0,9,Yes,10,Travel_Rarely,3,1,3,4,0
409,53,Male,Single,4,Other,Research & Development,Research Scientist,2,3253,4,2,5,0,Yes,22,Travel_Rarely,3,4,2,1,0
410,29,Male,Single,2,Medical,Sales,Sales Representative,1,1282,2,0,2,1,No,18,Non-Travel,4,4,3,4,0
411,37,Female,Single,2,Life Sciences,Research & Development,Research Scientist,1,3165,2,1,1,0,No,6,Travel_Rarely,4,4,4,3,0
412,56,Female,Married,2,Life Sciences,Sales,Sales Executive,1,1422,10,1,1,0,No,6,Travel_Rarely,4,1,2,4,0
